x	y	z	c
-0	0	-1	-1
-0.125333233564304	0	-0.992114701314478	-0.992114701314478
-0.248689887164855	0	-0.968583161128631	-0.968583161128631
-0.368124552684678	0	-0.929776485888251	-0.929776485888251
-0.481753674101715	0	-0.876306680043864	-0.876306680043864
-0.587785252292473	0	-0.809016994374947	-0.809016994374947
-0.684547105928689	0	-0.728968627421412	-0.728968627421412
-0.770513242775789	0	-0.63742398974869	-0.63742398974869
-0.844327925502015	0	-0.535826794978997	-0.535826794978997
-0.904827052466019	0	-0.425779291565073	-0.425779291565073
-0.951056516295154	0	-0.309016994374947	-0.309016994374947
-0.982287250728689	0	-0.187381314585725	-0.187381314585725
-0.998026728428272	0	-0.0627905195293134	-0.0627905195293134
-0.998026728428272	0	0.0627905195293134	0.0627905195293134
-0.982287250728689	0	0.187381314585725	0.187381314585725
-0.951056516295154	0	0.309016994374947	0.309016994374947
-0.904827052466019	0	0.425779291565073	0.425779291565073
-0.844327925502015	0	0.535826794978997	0.535826794978997
-0.770513242775789	0	0.63742398974869	0.63742398974869
-0.684547105928689	0	0.728968627421412	0.728968627421412
-0.587785252292473	0	0.809016994374947	0.809016994374947
-0	-0	-1	-1
-0.121395659560187	-0.0311691077131132	-0.992114701314478	-0.992114701314478
-0.240876837050858	-0.0618466599780683	-0.968583161128631	-0.968583161128631
-0.356559242928389	-0.0915488534697653	-0.929776485888251	-0.929776485888251
-0.466618496546772	-0.11980726685361	-0.876306680043864	-0.876306680043864
-0.569318897730234	-0.146176248069781	-0.809016994374947	-0.809016994374947
-0.663040799801865	-0.170239942532434	-0.728968627421412	-0.728968627421412
-0.746306152379246	-0.191618851404937	-0.63742398974869	-0.63742398974869
-0.817801811111921	-0.209975816523232	-0.535826794978997	-0.535826794978997
-0.876400246752239	-0.225021337581483	-0.425779291565073	-0.425779291565073
-0.921177326965143	-0.236518137724842	-0.309016994374947	-0.309016994374947
-0.951426890447146	-0.244284905547193	-0.187381314585725	-0.187381314585725
-0.966671883511921	-0.248199154480336	-0.0627905195293134	-0.0627905195293134
-0.966671883511921	-0.248199154480336	0.0627905195293134	0.0627905195293134
-0.951426890447146	-0.244284905547193	0.187381314585725	0.187381314585725
-0.921177326965143	-0.236518137724842	0.309016994374947	0.309016994374947
-0.876400246752239	-0.225021337581483	0.425779291565073	0.425779291565073
-0.817801811111921	-0.209975816523232	0.535826794978997	0.535826794978997
-0.746306152379246	-0.191618851404937	0.63742398974869	0.63742398974869
-0.663040799801865	-0.170239942532434	0.728968627421412	0.728968627421412
-0.569318897730234	-0.146176248069781	0.809016994374947	0.809016994374947
-0	-0	-1	-1
-0.109830349803898	-0.060379745756652	-0.992114701314478	-0.992114701314478
-0.217928609381917	-0.11980726685361	-0.968583161128631	-0.968583161128631
-0.322590004605743	-0.177345355782894	-0.929776485888251	-0.929776485888251
-0.422163962751007	-0.232086602510502	-0.876306680043864	-0.876306680043864
-0.515080143015162	-0.283167704874703	-0.809016994374947	-0.809016994374947
-0.599873201730004	-0.329783083376842	-0.728968627421412	-0.728968627421412
-0.675205901706683	-0.371197585651264	-0.63742398974869	-0.63742398974869
-0.739890201264993	-0.406758080257275	-0.535826794978997	-0.535826794978997
-0.792905990360372	-0.435903756952131	-0.425779291565073	-0.425779291565073
-0.833417178328689	-0.458174971003568	-0.309016994374947	-0.309016994374947
-0.860784879535471	-0.473220492061819	-0.187381314585725	-0.187381314585725
-0.874577488984017	-0.480803043272035	-0.0627905195293134	-0.0627905195293134
-0.874577488984017	-0.480803043272035	0.0627905195293134	0.0627905195293134
-0.860784879535471	-0.473220492061819	0.187381314585725	0.187381314585725
-0.833417178328689	-0.458174971003568	0.309016994374947	0.309016994374947
-0.792905990360372	-0.435903756952131	0.425779291565073	0.425779291565073
-0.739890201264993	-0.406758080257275	0.535826794978997	0.535826794978997
-0.675205901706683	-0.371197585651264	0.63742398974869	0.63742398974869
-0.599873201730004	-0.329783083376842	0.728968627421412	0.728968627421412
-0.515080143015162	-0.283167704874703	0.809016994374947	0.809016994374947
-0	-0	-1	-1
-0.091363995241658	-0.0857965023131289	-0.992114701314478	-0.992114701314478
-0.18128712570015	-0.170239942532434	-0.968583161128631	-0.968583161128631
-0.268351249890671	-0.25199859716159	-0.929776485888251	-0.929776485888251
-0.351183314565149	-0.329783083376842	-0.876306680043864	-0.876306680043864
-0.428477008582192	-0.402366693364377	-0.809016994374947	-0.809016994374947
-0.499013364214136	-0.468604740235343	-0.728968627421412	-0.728968627421412
-0.561679980996288	-0.527452610421896	-0.63742398974869	-0.63742398974869
-0.615488568946772	-0.577982237857178	-0.535826794978997	-0.535826794978997
-0.659590534489916	-0.6193967401316	-0.425779291565073	-0.425779291565073
-0.693290363283867	-0.651042985804468	-0.309016994374947	-0.309016994374947
-0.716056588897244	-0.672421894676972	-0.187381314585725	-0.187381314585725
-0.727530174352239	-0.683196308585051	-0.0627905195293134	-0.0627905195293134
-0.727530174352239	-0.683196308585051	0.0627905195293134	0.0627905195293134
-0.716056588897244	-0.672421894676972	0.187381314585725	0.187381314585725
-0.693290363283867	-0.651042985804468	0.309016994374947	0.309016994374947
-0.659590534489916	-0.6193967401316	0.425779291565073	0.425779291565073
-0.615488568946772	-0.577982237857178	0.535826794978997	0.535826794978997
-0.561679980996288	-0.527452610421896	0.63742398974869	0.63742398974869
-0.499013364214136	-0.468604740235343	0.728968627421412	0.728968627421412
-0.428477008582192	-0.402366693364377	0.809016994374947	0.809016994374947
-0	-0	-1	-1
-0.0671569048451152	-0.105822349091809	-0.992114701314478	-0.992114701314478
-0.133254705183233	-0.209975816523232	-0.968583161128631	-0.968583161128631
-0.197250999218108	-0.310817839894611	-0.929776485888251	-0.929776485888251
-0.258136527163278	-0.406758080257275	-0.876306680043864	-0.876306680043864
-0.314951087871797	-0.496283502708782	-0.809016994374947	-0.809016994374947
-0.366798681781917	-0.577982237857178	-0.728968627421412	-0.728968627421412
-0.412861641365425	-0.650565847844713	-0.63742398974869	-0.63742398974869
-0.45241352623301	-0.712889645782536	-0.535826794978997	-0.535826794978997
-0.48483057953316	-0.763970748146737	-0.425779291565073	-0.425779291565073
-0.509601564970322	-0.80300357543866	-0.309016994374947	-0.309016994374947
-0.526335829306684	-0.829372556654831	-0.187381314585725	-0.187381314585725
-0.534769463197095	-0.842661837209405	-0.0627905195293134	-0.0627905195293134
-0.534769463197095	-0.842661837209405	0.0627905195293134	0.0627905195293134
-0.526335829306684	-0.829372556654831	0.187381314585725	0.187381314585725
-0.509601564970322	-0.80300357543866	0.309016994374947	0.309016994374947
-0.48483057953316	-0.763970748146737	0.425779291565073	0.425779291565073
-0.45241352623301	-0.712889645782536	0.535826794978997	0.535826794978997
-0.412861641365425	-0.650565847844713	0.63742398974869	0.63742398974869
-0.366798681781917	-0.577982237857178	0.728968627421412	0.728968627421412
-0.314951087871797	-0.496283502708782	0.809016994374947	0.809016994374947
-0	-0	-1	-1
-0.0387300991313346	-0.119198988489674	-0.992114701314478	-0.992114701314478
-0.0768494014631283	-0.236518137724842	-0.968583161128631	-0.968583161128631
-0.113756742826241	-0.350107254639002	-0.929776485888251	-0.929776485888251
-0.1488700724	-0.458174971003568	-0.876306680043864	-0.876306680043864
-0.18163563200134	-0.559016994374947	-0.809016994374947	-0.809016994374947
-0.211536689182152	-0.651042985804468	-0.728968627421412	-0.728968627421412
-0.238101686408668	-0.732801640433624	-0.63742398974869	-0.63742398974869
-0.260911677805467	-0.803003575438661	-0.535826794978997	-0.535826794978997
-0.279606936182192	-0.860541664367945	-0.425779291565073	-0.425779291565073
-0.293892626146236	-0.904508497187474	-0.309016994374947	-0.309016994374947
-0.30354345383301	-0.934210690679171	-0.187381314585725	-0.187381314585725
-0.308407219924766	-0.949179823508441	-0.0627905195293134	-0.0627905195293134
-0.308407219924766	-0.949179823508441	0.0627905195293134	0.0627905195293134
-0.30354345383301	-0.934210690679171	0.187381314585725	0.187381314585725
-0.293892626146236	-0.904508497187474	0.309016994374947	0.309016994374947
-0.279606936182192	-0.860541664367945	0.425779291565073	0.425779291565073
-0.260911677805467	-0.803003575438661	0.535826794978997	0.535826794978997
-0.238101686408668	-0.732801640433624	0.63742398974869	0.63742398974869
-0.211536689182152	-0.651042985804468	0.728968627421412	0.728968627421412
-0.18163563200134	-0.559016994374947	0.809016994374947	0.809016994374947
-0	-0	-1	-1
-0.00786973884979144	-0.125085917057519	-0.992114701314478	-0.992114701314478
-0.0156153672167676	-0.248199154480336	-0.968583161128631	-0.968583161128631
-0.023114731914567	-0.36739814297001	-0.929776485888251	-0.929776485888251
-0.0302495634820022	-0.480803043272034	-0.876306680043864	-0.876306680043864
-0.0369073413631129	-0.586625392363843	-0.809016994374947	-0.809016994374947
-0.0429830684235503	-0.683196308585051	-0.728968627421412	-0.728968627421412
-0.0483809268181078	-0.76899281089818	-0.63742398974869	-0.63742398974869
-0.0530157890953789	-0.842661837209405	-0.535826794978997	-0.535826794978997
-0.0568145607085187	-0.903041582966057	-0.425779291565073	-0.425779291565073
-0.0597173327599116	-0.949179823508441	-0.309016994374947	-0.309016994374947
-0.0616783268002753	-0.980348931221555	-0.187381314585725	-0.187381314585725
-0.0626666167821521	-0.996057350657239	-0.0627905195293134	-0.0627905195293134
-0.0626666167821521	-0.996057350657239	0.0627905195293134	0.0627905195293134
-0.0616783268002753	-0.980348931221555	0.187381314585725	0.187381314585725
-0.0597173327599116	-0.949179823508441	0.309016994374947	0.309016994374947
-0.0568145607085187	-0.903041582966057	0.425779291565073	0.425779291565073
-0.0530157890953789	-0.842661837209405	0.535826794978997	0.535826794978997
-0.0483809268181078	-0.76899281089818	0.63742398974869	0.63742398974869
-0.0429830684235503	-0.683196308585051	0.728968627421412	0.728968627421412
-0.0369073413631129	-0.586625392363843	0.809016994374947	0.809016994374947
0	-0	-1	-1
0.023485106066559	-0.123113237422817	-0.992114701314478	-0.992114701314478
0.0465998379811261	-0.244284905547193	-0.968583161128631	-0.968583161128631
0.0689796626133369	-0.361604054782361	-0.929776485888251	-0.929776485888251
